movie,movie_url,year,rating,runtime,category,director,director_url,gross,img,synopsis,language,country,color,mainstars
Isle of Dogs,https://www.imdb.com/title/tt5104604/?ref_=ttls_li_tt,2018,4,101 min,"Animation, Adventure, Comedy",Wes Anderson,https://www.imdb.com/name/nm0027572/?ref_=ttls_li_dr_0,$32.02M,"https://m.media-amazon.com/images/M/MV5BMTYyOTUwNjAxM15BMl5BanBnXkFtZTgwODcyMzE0NDM@._V1_UX140_CR0,0,140,209_AL_.jpg","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."," English, Japanese"," Germany, USA, ", Color," Bryan Cranston, Koyu Rankin, Edward Norton "
Early Man,https://www.imdb.com/title/tt4701724/?ref_=ttls_li_tt,2018,2,89 min,"Animation, Adventure, Comedy",Nick Park,https://www.imdb.com/name/nm0661910/?ref_=ttls_li_dr_0,$8.27M,"https://m.media-amazon.com/images/M/MV5BYWMxYWVjNzAtMTY0YS00YWQyLWExMGItMjUxODkwYzQyNzMwXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX140_CR0,0,140,209_AL_.jpg","Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home."," English,  "," USA, UK, France,  ", Color," Eddie Redmayne, Tom Hiddleston, Maisie Williams "
Moomins and the Winter Wonderland,https://www.imdb.com/title/tt6315872/?ref_=ttls_li_tt,2017,2,82 min,"Animation, Adventure, Comedy",Ira Carpelan,https://www.imdb.com/name/nm6064135/?ref_=ttls_li_dr_0,,"https://m.media-amazon.com/images/M/MV5BZjY1MzAyMjUtZTJjYi00OGFjLWFjZTItOTdkODZkODZmMDMwXkEyXkFqcGdeQXVyNTYzMjkwNjU@._V1_UX140_CR0,0,140,209_AL_.jpg",Moomintroll decides to stay awake to explore the winter instead of having his winter slumber as usual. Winter is certainly totally different than he had imagined.," Finnish, English"," Finland, Poland, ",," Stellan Skarsgård, Alicia Vikander, Bill Skarsgård"
Dyrene i Hakkebakkeskogen,https://www.imdb.com/title/tt4730838/?ref_=ttls_li_tt,2016,3,75 min,"Animation, Family, Musical",Rasmus A. Sivertsen,https://www.imdb.com/name/nm1302411/?ref_=ttls_li_dr_0,,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,"In the woods there lives a mouse and his friends, and they are always scared of getting eaten by the fox or other predators who can't get food in a fair way. They have to make some laws so they all can live togheter in peace."," Norwegian,  "," Norway, Netherlands, ",," Nils Jørgen Kaalstad, Stig Henrik Hoff, Frank Kjosås"
My Life as a Zucchini,https://www.imdb.com/title/tt2321405/?ref_=ttls_li_tt,2016,4,70 min,"Animation, Comedy, Drama",Claude Barras,https://www.imdb.com/name/nm1957706/?ref_=ttls_li_dr_0,$0.29M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,"After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love."," French, English"," Switzerland, France, ", Color," Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud "
Kubo and the Two Strings,https://www.imdb.com/title/tt4302938/?ref_=ttls_li_tt,2016,4,101 min,"Animation, Action, Adventure",Travis Knight,https://www.imdb.com/name/nm1325899/?ref_=ttls_li_dr_0,$48.02M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.," English,  "," USA, Japan, ", Color," Charlize Theron, Art Parkinson, Matthew McConaughey "
Shaun the Sheep Movie,https://www.imdb.com/title/tt2872750/?ref_=ttls_li_tt,2015,3,85 min,"Animation, Adventure, Comedy",Mark Burton,https://www.imdb.com/name/nm0123666/?ref_=ttls_li_dr_0,$19.38M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home."," None,  "," UK, France, USA,  ", Color," Justin Fletcher, John Sparkes, Omid Djalili "
The Boxtrolls,https://www.imdb.com/title/tt0787474/?ref_=ttls_li_tt,2014,3,96 min,"Animation, Adventure, Comedy",Graham Annable,https://www.imdb.com/name/nm0030253/?ref_=ttls_li_dr_0,$50.84M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.," English,  "," USA, ", Color," Ben Kingsley, Jared Harris, Nick Frost "
Frankenweenie,https://www.imdb.com/title/tt1142977/?ref_=ttls_li_tt,2012,3,87 min,"Animation, Comedy, Family",Tim Burton,https://www.imdb.com/name/nm0000318/?ref_=ttls_li_dr_0,$35.29M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment."," English,  "," USA, ", Black and White," Winona Ryder, Catherine O'Hara, Martin Short "
ParaNorman,https://www.imdb.com/title/tt1623288/?ref_=ttls_li_tt,2012,3,92 min,"Animation, Adventure, Comedy",Chris Butler,https://www.imdb.com/name/nm2752098/?ref_=ttls_li_dr_0,$56.00M,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,"A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse."," English,  "," USA, ", Color," Kodi Smit-McPhee, Anna Kendrick, Christopher Mintz-Plasse "
