movie,img_url,img,year,synopsis,runtime,category,category1,rate,category_detail,director,director1,language
A Trip to the Moon,https://dl.airtable.com/.attachmentThumbnails/f26bd1241c7f8fac45d45ad40d840926/476332d0,A-Trip-to-the-Moon.jpg (https://dl.airtable.com/.attachments/4afe3142db99cc0bb99405e950f9cfcc/483ef97f/A-Trip-to-the-Moon.jpg),1902,A group of astronomers go on an expedition to the Moon.,74 min,"Action,Adventure","Action, Adventure",8.2,"Drama,Fantasy",Georges Méliès,Georges Méliès,English
The Nightmare Before Christmas,https://dl.airtable.com/.attachmentThumbnails/e394c7e0fdc0e98a68143f8920f0de8e/48968e44,Nightmare-Before-Christmas2.jpg (https://dl.airtable.com/.attachments/07ed53fafefb6d52430a7d5a22bd0637/6708902c/Nightmare-Before-Christmas2.jpg),1993,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",76 min,"Family,Fantasy","Family, Fantasy",8.0,"Family,Fantasy",Henry Selick,Henry Selick,English
Chicken Run,https://dl.airtable.com/.attachmentThumbnails/12ba5a8c210e943fa39b6f7b61e91af1/a6c24b05,"""MV5BODYwYTJjYzMtYmFiMy00MDY2LThkMGUtNGExNGUwNTEyODllXkEyXkFqcGdeQXVyNzk4NDk3MTY@._V1_SX1777_CR0,0,1777,999_AL_.jpg (https://dl.airtable.com/.attachments/0181b5a0d47d0b6339e64e288c474d8f/7442e71e/MV5BODYwYTJjYzMtYmFiMy00MDY2LThkMGUtNGExNGUwNTEyODllXkEyXkFqcGdeQXVyNzk4NDk3MTY._V1_SX1777_CR001777999_AL_.jpg)"",1969b8cd (https://dl.airtable.com/.attachments/08d80bfefcf016abf688a09279006447/5e7b7274/1969b8cd)",2000,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",84 min,"Adventure,Comedy","Adventure, Comedy",7.0,"Adventure,Comedy","Peter Lord,Nick Park","Peter Lord, Nick Park",English
Corpse Bride,https://dl.airtable.com/.attachmentThumbnails/6b68a49bd36ac90ad0c86fd1de2291e0/5e34de70,"corpse-bride2.jpg (https://dl.airtable.com/.attachments/f5e75dc8dc57f490b9200000f144b0da/1b908abb/corpse-bride2.jpg),corpse-bride.png (https://dl.airtable.com/.attachments/400cae9a24ffa9f25b825e7257ddccef/4d0d1e88/corpse-bride.png)",2005,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",77 min,"Drama,Family","Drama, Family",7.3,"Drama,Family",Tim Burton,Tim Burton,English
Fantastic Mr. Fox,https://dl.airtable.com/.attachmentThumbnails/884afc445f2958a8bd235b7a018edec9/d25f95ee.png,FantasticMr_Fox.webp (https://dl.airtable.com/.attachments/54784ccc4be6b9a7670fa7de894d4d0a/dcb6d920/FantasticMr_Fox.webp),2009,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,87 min,"Adventure,Comedy","Adventure, Comedy",7.8,"Adventure,Comedy",Wes Anderson,Wes Anderson,"English,French"
Coraline,https://dl.airtable.com/.attachmentThumbnails/ff3cb25a273d7b306139f9a039f7b0d7/849bf44e.png,Coraline.webp (https://dl.airtable.com/.attachments/c9183321a23a0701c055e2a9a1d94a48/8e17b1d0/Coraline.webp),2009,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",100 min,"Drama,Fantasy","Drama, Fantasy",7.7,"Drama,Fantasy",Henry Selick,Henry Selick,"English,Russian"
Frankenweenie,https://dl.airtable.com/.attachmentThumbnails/a80b54a5a9bb67032fd46b8ccd35645f/0aa246d5,frankenweenie.jpg (https://dl.airtable.com/.attachments/ab2fbd9243b97b730d35b2e3eeb9dff2/fa2f889d/frankenweenie.jpg),2012,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",87 min,"Comedy,Family","Comedy, Family",6.9,"Comedy,Family",Tim Burton,Tim Burton,English
The Boxtrolls,https://dl.airtable.com/.attachmentThumbnails/31209fb0c162bc29fd67868cea4ca78a/65323a28,"the-boxtrolls.jpg (https://dl.airtable.com/.attachments/dcab3f699a8c1776dbc04e88313ae158/de13f6b5/the-boxtrolls.jpg),""MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE@._V1_UX182_CR0,0,182,268_AL_.jpg (https://dl.airtable.com/.attachments/70e4108c59b804553fb8b85d0d1e1eb9/2cf61814/MV5BMTQxODA5MDkyNV5BMl5BanBnXkFtZTgwMDMyNjkzMjE._V1_UX182_CR00182268_AL_.jpg)""",2014,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,96 min,"Adventure,Comedy","Adventure, Comedy",6.8,"Adventure,Comedy",Graham Annable,Graham Annable,English
Kubo and the Two Strings,https://dl.airtable.com/.attachmentThumbnails/37b088b1bd22ec16a7ec5ffc3b06ed0d/79e340df,"Kubo-and-the-two-strings.jpg (https://dl.airtable.com/.attachments/1c8068c46445529bee16bfdae22cbd57/9b151bc3/Kubo-and-the-two-strings.jpg),Kubo-and-the-two-strings2.jpg (https://dl.airtable.com/.attachments/5e88c0ec2ff84901088f175c09941612/554e44c5/Kubo-and-the-two-strings2.jpg)",2016,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,101 min,"Action,Adventure","Action, Adventure",7.8,"Action,Adventure",Travis Knight,Travis Knight,English
Shaun the Sheep Movie,https://dl.airtable.com/.attachmentThumbnails/85ca73c2553999e6cb079b08633e566f/4e42f58b.png,ShauntheSheepMovie.webp (https://dl.airtable.com/.attachments/033c037fef545f1d034b2e9f360d9e2a/95649b19/ShauntheSheepMovie.webp),2015,"A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",85 min,"Adventure,Comedy","Adventure, Comedy",7.3,"Adventure,Comedy",Mark Burton,Mark Burton,None
